Date,Competition,Home Team,Away Team,Home Goals,Away Goals,Possession % (Home),Possession % (Away),Shots (Home),Shots (Away),Corners (Home),Corners (Away),Fouls (Home),Fouls (Away),Winner,Year
2016-04-14,Serie A,Juventus,Man City,2,3,64,50,6,22,4,2,11,7,Draw,2024
2015-07-03,La Liga,Juventus,Paris Saint-Germain,3,3,68,48,22,22,7,8,13,6,Draw,2019
2017-11-19,Bundesliga,Juventus,Borussia Dortmund,5,3,66,45,23,20,2,6,11,13,Home Team,2018
2021-08-23,Serie A,Juventus,Liverpool,0,1,60,42,15,22,9,6,5,8,Draw,2018
2023-06-06,Bundesliga,Chelsea,Arsenal,5,4,57,30,6,9,6,3,11,9,Draw,2018
2022-01-06,Premier League,Liverpool,Paris Saint-Germain,0,3,58,56,19,7,8,6,7,5,Away Team,2024
2015-12-12,Premier League,Arsenal,Barcelona,3,3,43,43,13,17,6,2,13,15,Away Team,2024
2022-11-29,Serie A,Bayern Munich,Barcelona,1,4,64,46,20,21,8,10,12,9,Home Team,2023
2016-04-24,Bundesliga,AC Milan,Man City,3,0,56,48,6,14,8,6,14,10,Away Team,2025
2024-10-26,Premier League,Arsenal,Chelsea,4,5,63,39,11,19,2,2,8,13,Home Team,2016
2018-12-11,Bundesliga,Bayern Munich,Chelsea,5,4,69,60,21,25,6,6,9,8,Away Team,2021
2018-10-09,Premier League,Manchester City,Man City,3,0,61,59,11,13,9,5,12,6,Home Team,2021
2023-01-30,UEFA Champions League,PSG,Bayern Munich,4,3,46,42,16,18,7,3,14,5,Home Team,2018
2020-02-27,UEFA Champions League,Real Madrid,Borussia Dortmund,5,1,58,41,14,22,9,2,13,14,Draw,2015
2018-03-21,UEFA Champions League,AC Milan,Man City,3,0,57,40,20,9,3,5,13,8,Away Team,2022
2018-04-30,UEFA Champions League,PSG,Barcelona,3,0,52,31,9,21,9,10,11,5,Draw,2022
2015-12-20,Premier League,Barcelona,Paris Saint-Germain,1,2,70,55,8,16,9,5,14,14,Home Team,2023
2015-04-29,UEFA Champions League,Chelsea,Man City,3,4,58,33,11,5,10,4,10,12,Home Team,2019
2022-12-31,Serie A,AC Milan,Barcelona,4,3,51,45,22,10,8,5,10,10,Draw,2020
2017-10-13,La Liga,Arsenal,AC Milan,1,5,55,53,14,13,3,5,6,7,Away Team,2015
2022-07-22,Premier League,Barcelona,Bayern Munich,0,5,59,39,21,25,9,5,10,12,Home Team,2018
2016-09-19,Premier League,Real Madrid,Arsenal,4,4,66,45,7,9,4,2,6,13,Away Team,2024
2017-10-25,Serie A,PSG,Paris Saint-Germain,3,0,60,60,15,20,8,10,6,14,Draw,2015
2025-10-23,UEFA Champions League,Liverpool,Barcelona,3,3,66,51,12,24,5,5,7,8,Away Team,2022
2021-10-22,Premier League,Liverpool,Man City,0,1,46,38,24,7,9,7,9,14,Home Team,2024
2018-04-24,Premier League,Manchester City,Chelsea,0,4,49,48,10,17,2,2,12,7,Away Team,2021
2021-11-27,Serie A,AC Milan,AC Milan,0,1,66,53,9,5,3,10,14,15,Home Team,2024
2022-08-12,UEFA Champions League,AC Milan,Juventus,5,1,53,50,8,13,10,3,12,11,Away Team,2017
2024-04-22,Serie A,Barcelona,Borussia Dortmund,3,0,52,40,20,19,5,8,13,7,Draw,2025
2023-02-13,Serie A,AC Milan,AC Milan,3,4,49,33,9,21,4,4,6,9,Home Team,2022
2015-11-19,La Liga,Barcelona,Borussia Dortmund,2,1,67,37,21,25,8,9,15,14,Home Team,2017
2024-10-10,La Liga,Barcelona,Barcelona,3,0,69,47,8,24,9,9,12,5,Away Team,2021
2018-12-23,UEFA Champions League,Liverpool,Paris Saint-Germain,0,3,60,32,15,19,10,10,10,14,Home Team,2017
2019-10-05,Premier League,Bayern Munich,AC Milan,0,0,51,46,19,15,7,6,14,5,Away Team,2021
2017-02-03,Premier League,Chelsea,Juventus,4,5,56,33,16,10,4,5,7,9,Home Team,2025
2024-10-07,La Liga,Arsenal,Man City,0,2,46,49,11,19,4,5,15,5,Away Team,2024
2023-12-18,Bundesliga,Liverpool,Paris Saint-Germain,1,5,70,38,7,19,10,10,13,10,Draw,2022
2016-08-29,Bundesliga,Juventus,Arsenal,4,4,68,42,8,10,7,8,15,12,Home Team,2015
2022-08-30,Premier League,Bayern Munich,Man City,3,2,48,37,25,22,10,9,6,8,Draw,2019
2017-09-23,UEFA Champions League,Juventus,Chelsea,1,5,55,37,12,23,5,5,11,13,Away Team,2022
2022-07-29,UEFA Champions League,Barcelona,Liverpool,5,2,70,30,11,13,8,7,13,15,Away Team,2018
2022-07-22,La Liga,Manchester City,Man City,0,2,63,36,14,12,2,8,13,13,Away Team,2017
2022-08-28,UEFA Champions League,Chelsea,Chelsea,2,2,44,36,6,15,10,7,7,13,Home Team,2022
2022-03-02,La Liga,Barcelona,Borussia Dortmund,0,0,62,38,8,24,8,3,14,6,Home Team,2021
2020-11-10,Bundesliga,Chelsea,Chelsea,0,4,67,57,6,21,8,9,5,15,Away Team,2015
2022-01-10,Bundesliga,Arsenal,Chelsea,4,3,62,54,23,18,10,7,7,10,Draw,2017
2019-09-14,UEFA Champions League,AC Milan,Man City,0,0,69,41,13,7,6,7,14,8,Away Team,2016
2019-12-13,Serie A,Bayern Munich,Bayern Munich,0,2,41,37,17,22,3,5,12,13,Away Team,2019
2018-11-14,Premier League,Juventus,Chelsea,5,1,49,41,19,15,7,8,9,5,Away Team,2016
2024-03-11,Premier League,Juventus,Paris Saint-Germain,3,3,63,58,11,15,5,2,11,12,Away Team,2015
2022-06-27,Serie A,Manchester City,Chelsea,4,0,44,38,21,9,9,3,15,6,Away Team,2018
2024-01-21,Serie A,Juventus,Liverpool,3,1,41,34,24,14,7,8,8,8,Away Team,2022
2021-09-24,Premier League,Liverpool,AC Milan,3,3,62,48,18,24,6,8,5,5,Draw,2015
2016-07-20,Serie A,PSG,Man City,3,5,41,45,16,10,8,4,7,10,Draw,2024
2020-09-07,Premier League,Manchester City,Borussia Dortmund,1,1,45,42,11,15,7,10,12,14,Away Team,2025
2015-06-02,Premier League,Juventus,Barcelona,0,5,44,52,24,25,6,10,12,5,Away Team,2024
2021-02-13,Premier League,Liverpool,Chelsea,5,3,66,60,20,7,2,10,14,14,Away Team,2015
2024-12-26,UEFA Champions League,Barcelona,AC Milan,4,2,56,33,18,15,4,8,6,7,Away Team,2024
2025-07-05,Serie A,Bayern Munich,Bayern Munich,2,2,65,33,6,6,9,8,9,6,Draw,2015
2019-05-31,La Liga,Barcelona,Man City,5,5,70,36,11,16,3,10,5,15,Home Team,2017
2018-10-20,La Liga,Juventus,Barcelona,2,5,68,33,11,6,2,6,8,5,Draw,2018
2015-12-28,Serie A,Real Madrid,Liverpool,0,4,61,30,15,21,7,9,14,8,Draw,2025
2025-03-31,Serie A,Liverpool,Juventus,1,3,40,58,9,12,9,9,13,14,Home Team,2018
2017-01-09,Serie A,Arsenal,Paris Saint-Germain,3,4,53,40,25,17,3,7,14,11,Away Team,2020
2024-04-12,UEFA Champions League,Juventus,Juventus,5,0,42,40,13,5,3,10,13,11,Draw,2025
2018-04-17,Bundesliga,PSG,Juventus,2,2,48,47,8,16,10,7,15,12,Draw,2023
2022-05-03,Bundesliga,PSG,Borussia Dortmund,0,3,49,37,18,24,7,6,15,14,Draw,2016
2015-05-25,Serie A,Manchester City,Juventus,0,3,46,43,16,18,3,6,6,5,Home Team,2015
2024-09-08,Premier League,Barcelona,Borussia Dortmund,1,4,50,57,17,19,8,3,8,13,Away Team,2020
2015-12-29,La Liga,PSG,Barcelona,2,2,65,32,14,9,4,5,8,6,Draw,2018
2024-09-15,Bundesliga,Barcelona,Juventus,0,3,44,54,20,21,10,7,8,6,Draw,2017
2024-01-27,La Liga,Chelsea,Barcelona,1,4,62,41,25,17,4,5,8,11,Draw,2023
2023-06-10,UEFA Champions League,Liverpool,Liverpool,1,5,49,55,6,23,2,7,15,5,Away Team,2018
2017-09-05,La Liga,Bayern Munich,Bayern Munich,3,1,57,40,25,10,9,9,13,7,Home Team,2018
2022-05-08,Premier League,Chelsea,Liverpool,0,2,70,38,11,23,2,5,14,10,Draw,2025
2021-04-18,UEFA Champions League,Barcelona,Bayern Munich,1,4,40,30,8,6,7,6,13,8,Away Team,2020
2017-08-23,La Liga,PSG,Liverpool,0,2,66,39,23,18,7,5,6,7,Home Team,2023
2015-12-08,Serie A,PSG,Arsenal,0,4,60,39,21,24,8,10,6,13,Home Team,2016
2015-02-04,UEFA Champions League,Chelsea,Chelsea,1,2,63,38,18,15,10,7,14,7,Draw,2019
2024-09-01,Serie A,PSG,Bayern Munich,4,0,49,47,19,24,10,4,7,13,Draw,2022
2020-07-28,UEFA Champions League,Bayern Munich,Liverpool,0,5,53,59,13,12,2,10,13,14,Away Team,2018
2025-12-06,Bundesliga,Manchester City,Chelsea,0,5,46,38,20,19,5,8,13,10,Draw,2016
2024-03-15,Premier League,Bayern Munich,Liverpool,1,0,55,59,17,23,4,9,8,14,Home Team,2020
2015-12-15,Serie A,Manchester City,Chelsea,3,0,59,51,25,8,3,10,12,8,Home Team,2019
2020-12-26,Serie A,AC Milan,Borussia Dortmund,0,4,60,56,19,13,7,7,8,11,Draw,2020
2017-10-13,La Liga,PSG,Arsenal,0,0,48,44,25,5,7,2,7,15,Away Team,2023
2020-03-03,Serie A,Barcelona,Arsenal,4,5,46,59,17,11,2,7,7,14,Home Team,2021
2016-01-20,La Liga,Arsenal,Arsenal,0,5,52,42,11,9,4,9,9,15,Home Team,2020
2015-07-06,UEFA Champions League,Chelsea,Paris Saint-Germain,1,0,61,42,8,18,6,7,8,8,Draw,2021
2022-01-26,Bundesliga,PSG,AC Milan,2,4,48,56,11,9,4,9,7,10,Home Team,2019
2022-04-09,La Liga,Liverpool,Chelsea,2,1,48,44,21,12,10,2,13,10,Draw,2024
2022-09-12,Serie A,AC Milan,Barcelona,0,1,47,55,6,6,5,4,5,13,Draw,2025
2022-04-18,Premier League,PSG,AC Milan,2,3,55,56,15,7,7,4,12,10,Home Team,2022
2022-11-22,Premier League,Juventus,Barcelona,5,5,45,60,25,8,5,9,13,13,Home Team,2019
2020-08-25,UEFA Champions League,Chelsea,Juventus,2,3,44,41,10,23,5,5,8,7,Home Team,2017
2018-10-17,Serie A,Manchester City,Man City,1,4,55,55,10,24,9,3,6,6,Home Team,2018
2023-11-29,UEFA Champions League,PSG,Juventus,4,4,57,48,8,5,4,9,6,9,Home Team,2019
2019-08-08,UEFA Champions League,PSG,Juventus,4,0,50,41,19,9,9,6,14,12,Home Team,2018
2015-06-04,Serie A,Bayern Munich,Paris Saint-Germain,0,4,65,57,22,11,6,5,13,5,Draw,2020
2021-11-29,Premier League,Liverpool,Juventus,4,1,42,52,19,17,6,7,10,6,Away Team,2020
2019-01-01,UEFA Champions League,Chelsea,Paris Saint-Germain,1,1,51,33,15,17,3,3,5,15,Away Team,2018
2017-01-02,Bundesliga,Juventus,Juventus,0,1,49,45,13,12,7,6,7,6,Away Team,2020
2017-07-02,Bundesliga,Arsenal,Bayern Munich,3,3,52,48,9,24,8,8,15,12,Draw,2017
2025-02-21,Serie A,Manchester City,Barcelona,0,4,58,42,21,7,4,4,15,15,Away Team,2015
2019-11-14,La Liga,PSG,Bayern Munich,0,5,54,31,24,16,4,7,5,6,Draw,2023
2024-07-15,Serie A,Bayern Munich,Arsenal,5,3,67,41,24,7,6,5,12,12,Draw,2022
2023-05-18,Bundesliga,Barcelona,Man City,4,0,47,53,8,21,8,5,11,13,Away Team,2016
2020-10-26,Premier League,AC Milan,Man City,4,0,46,53,7,23,5,3,9,7,Home Team,2015
2022-05-05,La Liga,Chelsea,Borussia Dortmund,2,2,57,49,7,14,5,9,13,15,Draw,2015
2023-04-16,Serie A,AC Milan,Chelsea,2,5,64,57,20,12,4,7,15,8,Draw,2019
2015-04-09,Serie A,Bayern Munich,Arsenal,2,4,47,37,8,24,5,3,5,6,Draw,2021
2017-04-24,Premier League,Bayern Munich,Man City,3,2,42,47,22,11,10,9,12,15,Draw,2016
2021-05-13,Serie A,AC Milan,Paris Saint-Germain,1,1,51,33,22,11,8,4,6,12,Away Team,2021
2017-12-09,Bundesliga,Chelsea,Paris Saint-Germain,4,0,49,37,20,9,3,5,14,7,Home Team,2023
2019-08-28,Premier League,Real Madrid,Liverpool,0,0,45,38,17,17,3,6,13,12,Home Team,2019
2022-10-15,Bundesliga,Liverpool,Barcelona,1,0,61,32,19,20,9,3,11,8,Draw,2025
2017-10-30,Premier League,Manchester City,Liverpool,2,4,62,30,7,11,5,8,9,12,Home Team,2023
2025-04-27,La Liga,Liverpool,Paris Saint-Germain,1,5,67,58,16,12,6,8,7,10,Away Team,2020
2016-10-05,Serie A,PSG,Chelsea,3,5,70,59,10,16,7,5,12,8,Home Team,2021
2020-02-06,La Liga,Barcelona,AC Milan,4,0,50,47,22,21,7,8,14,9,Draw,2018
2020-12-15,UEFA Champions League,Juventus,AC Milan,4,2,61,47,24,24,5,3,6,9,Draw,2015
2018-07-31,La Liga,Manchester City,Juventus,4,1,69,32,17,25,4,8,5,13,Away Team,2015
2023-11-28,Bundesliga,Bayern Munich,Borussia Dortmund,2,5,52,30,19,7,4,10,7,7,Draw,2015
2020-05-13,Premier League,Real Madrid,Borussia Dortmund,0,1,50,55,20,15,4,4,6,5,Draw,2023
2023-07-30,La Liga,Bayern Munich,AC Milan,3,3,52,58,9,12,4,3,5,9,Away Team,2021
2019-12-22,Premier League,Bayern Munich,Liverpool,5,4,67,36,7,14,10,3,13,11,Away Team,2022
2024-03-18,Serie A,Bayern Munich,Arsenal,5,0,67,55,13,19,4,2,8,14,Away Team,2022
2023-06-22,UEFA Champions League,AC Milan,Barcelona,0,3,41,34,13,16,4,5,5,5,Draw,2018
2016-01-15,Premier League,Liverpool,Man City,5,5,58,44,19,20,2,9,6,11,Away Team,2021
2019-04-14,La Liga,Manchester City,Barcelona,1,5,69,44,5,7,6,9,13,12,Away Team,2015
2023-05-11,Serie A,Barcelona,Arsenal,1,3,63,50,17,9,9,9,11,14,Away Team,2016
2023-06-09,La Liga,Real Madrid,Paris Saint-Germain,1,4,48,53,12,12,7,2,11,11,Away Team,2015
2025-07-15,Bundesliga,PSG,Barcelona,4,2,62,43,8,11,2,5,9,13,Draw,2022
2025-06-08,La Liga,Manchester City,Liverpool,3,1,63,42,16,12,9,2,14,9,Home Team,2016
2016-08-14,Premier League,Juventus,Arsenal,4,1,48,41,19,8,2,7,10,13,Home Team,2020
2024-11-11,La Liga,Arsenal,Barcelona,5,4,57,51,18,23,8,8,5,12,Away Team,2023
2022-10-16,Bundesliga,Manchester City,Arsenal,4,4,69,32,13,8,2,2,8,12,Away Team,2022
2016-05-23,Serie A,Chelsea,Man City,3,5,50,31,10,10,10,8,14,11,Away Team,2018
2019-08-03,UEFA Champions League,AC Milan,Barcelona,4,2,52,47,19,12,10,3,15,15,Draw,2024
2016-06-27,Bundesliga,AC Milan,Man City,4,2,49,40,18,6,10,8,7,15,Home Team,2015
2023-03-23,Bundesliga,Juventus,Paris Saint-Germain,5,0,60,43,5,22,6,7,12,11,Draw,2022
2019-10-22,La Liga,Liverpool,Paris Saint-Germain,5,0,58,52,11,6,8,6,7,15,Away Team,2017
2023-03-15,UEFA Champions League,Manchester City,Liverpool,4,3,50,49,13,16,6,10,10,7,Away Team,2024
2020-07-11,Premier League,Juventus,Borussia Dortmund,4,4,50,52,21,24,10,5,5,5,Home Team,2015
2015-12-28,La Liga,PSG,Arsenal,4,2,52,36,12,8,8,9,12,5,Home Team,2016
2021-07-27,Bundesliga,AC Milan,Liverpool,2,2,46,60,8,24,7,10,8,5,Draw,2020
2022-05-07,La Liga,AC Milan,Borussia Dortmund,4,5,64,45,14,21,2,6,7,9,Home Team,2018
2017-04-17,Bundesliga,Bayern Munich,Bayern Munich,0,1,64,50,13,20,2,3,13,9,Draw,2021
2017-05-13,La Liga,AC Milan,Bayern Munich,0,3,46,52,23,22,3,9,15,10,Home Team,2023
2024-06-22,UEFA Champions League,Chelsea,Barcelona,4,1,64,54,17,23,10,2,15,9,Away Team,2018
2023-02-13,Premier League,Barcelona,Paris Saint-Germain,4,3,53,48,8,17,6,8,6,15,Away Team,2023
2024-12-19,Serie A,Juventus,Liverpool,1,1,52,57,18,24,5,2,13,5,Draw,2025
2021-03-12,UEFA Champions League,Juventus,Chelsea,0,4,67,33,24,18,10,8,8,5,Draw,2023
2021-04-08,UEFA Champions League,Manchester City,Man City,3,2,54,42,10,21,10,5,14,12,Home Team,2025
2018-06-14,UEFA Champions League,Real Madrid,Paris Saint-Germain,2,1,44,58,17,17,2,10,14,6,Home Team,2020
2019-09-10,Serie A,AC Milan,Liverpool,2,0,60,42,9,20,3,4,8,5,Home Team,2021
2021-07-18,Bundesliga,AC Milan,Bayern Munich,3,1,68,50,21,6,4,6,13,7,Draw,2019
2017-05-10,UEFA Champions League,Juventus,Bayern Munich,3,1,67,58,7,18,2,8,15,15,Draw,2016
2016-11-12,Premier League,Arsenal,Bayern Munich,4,0,64,54,10,14,8,8,14,11,Away Team,2016
2024-11-11,UEFA Champions League,Barcelona,Bayern Munich,4,4,61,44,24,24,4,3,8,12,Home Team,2020
2016-12-02,UEFA Champions League,Barcelona,Liverpool,3,5,67,35,9,20,7,5,7,13,Draw,2022
2024-08-13,Premier League,AC Milan,Borussia Dortmund,1,2,64,58,19,24,7,7,9,12,Draw,2018
2017-05-30,Bundesliga,Arsenal,Chelsea,0,5,65,41,16,16,4,5,10,11,Draw,2016
2016-04-11,Serie A,Liverpool,Barcelona,0,2,42,35,8,25,2,5,15,10,Home Team,2017
2017-08-25,Serie A,Bayern Munich,Arsenal,1,4,48,59,21,20,9,3,12,5,Draw,2018
2025-07-23,Bundesliga,AC Milan,Man City,2,2,49,40,24,19,2,3,6,10,Draw,2018
2019-11-18,Serie A,Barcelona,AC Milan,5,3,58,32,23,11,4,4,11,11,Draw,2019
2016-02-27,Bundesliga,AC Milan,Chelsea,2,0,47,37,21,23,8,2,15,5,Home Team,2021
2025-01-22,Bundesliga,Barcelona,Bayern Munich,4,0,45,49,9,8,5,2,6,13,Draw,2021
2024-07-26,La Liga,Barcelona,Paris Saint-Germain,2,3,61,45,16,17,2,4,14,12,Away Team,2023
2016-07-02,Serie A,Juventus,Liverpool,4,3,59,43,14,19,10,6,8,5,Draw,2021
2022-10-31,La Liga,Chelsea,Arsenal,1,3,46,52,6,22,9,10,15,14,Home Team,2018
2016-12-04,Bundesliga,Juventus,Borussia Dortmund,1,3,67,52,20,16,3,2,15,14,Away Team,2023
2022-12-05,Premier League,Manchester City,Man City,1,2,62,36,6,18,5,6,5,13,Home Team,2015
2022-10-31,UEFA Champions League,PSG,Borussia Dortmund,0,2,66,50,14,12,9,8,8,14,Away Team,2017
2022-02-15,Serie A,Chelsea,Juventus,5,1,54,36,9,23,10,8,8,8,Draw,2019
2017-03-15,Premier League,Manchester City,Chelsea,0,1,52,32,7,21,6,4,15,5,Draw,2016
2019-08-23,Premier League,Chelsea,Paris Saint-Germain,2,3,55,52,19,9,4,9,5,14,Home Team,2024
2017-03-03,Bundesliga,Bayern Munich,AC Milan,4,5,65,46,6,6,6,4,14,8,Away Team,2024
2017-03-10,Serie A,Arsenal,Chelsea,1,1,55,38,12,23,6,3,6,10,Home Team,2016
2016-08-08,Serie A,Arsenal,Borussia Dortmund,0,0,69,56,22,23,7,4,14,14,Draw,2017
2024-03-16,La Liga,Juventus,Juventus,2,5,56,58,21,10,4,8,14,11,Away Team,2018
2024-02-26,Bundesliga,Liverpool,Liverpool,5,3,47,49,12,25,8,9,8,15,Home Team,2025
2022-09-18,Bundesliga,Arsenal,Chelsea,3,2,46,59,24,6,4,10,5,5,Draw,2021
2018-03-29,Premier League,Barcelona,Man City,4,4,43,40,21,16,9,7,10,9,Home Team,2021
2016-03-31,UEFA Champions League,Arsenal,Juventus,1,4,63,48,21,23,10,9,10,9,Home Team,2015
2015-05-23,Bundesliga,Liverpool,Chelsea,5,5,56,39,11,25,5,8,5,14,Draw,2024
2022-12-14,Serie A,Real Madrid,Paris Saint-Germain,1,2,41,51,5,11,8,5,6,7,Away Team,2017
2023-05-03,Premier League,Liverpool,Borussia Dortmund,2,2,46,34,21,13,2,7,10,5,Home Team,2018
2022-05-25,Bundesliga,Manchester City,Arsenal,4,3,61,54,22,12,6,4,7,12,Draw,2024
2021-07-28,La Liga,Juventus,Borussia Dortmund,2,5,42,36,15,24,9,8,6,11,Away Team,2016
2016-05-13,Bundesliga,PSG,Paris Saint-Germain,2,0,69,41,19,17,7,7,6,9,Away Team,2017
2018-10-15,Bundesliga,Barcelona,Borussia Dortmund,2,1,68,57,9,16,5,10,8,11,Draw,2025
2020-08-15,UEFA Champions League,Chelsea,AC Milan,2,3,46,60,13,22,7,2,7,10,Draw,2019
2015-12-16,Bundesliga,Arsenal,Barcelona,2,1,45,46,6,8,3,10,13,14,Home Team,2023
2017-11-29,Premier League,PSG,Barcelona,0,0,50,34,8,23,3,3,12,12,Draw,2016
2022-02-23,UEFA Champions League,Juventus,Arsenal,0,1,66,52,10,10,10,5,7,11,Home Team,2018
2016-03-01,Premier League,Liverpool,Bayern Munich,2,5,44,39,24,18,6,3,6,12,Away Team,2021
2022-08-21,La Liga,PSG,Man City,4,1,53,60,12,18,8,6,14,13,Home Team,2019
2021-07-14,Serie A,Arsenal,Barcelona,1,1,70,33,10,9,6,8,12,14,Away Team,2022
2022-10-06,Bundesliga,Liverpool,Borussia Dortmund,4,4,51,54,17,6,9,4,9,15,Home Team,2022
2022-01-26,Serie A,Liverpool,Borussia Dortmund,5,1,49,44,7,13,2,2,14,5,Home Team,2022
2022-01-16,Bundesliga,Chelsea,Bayern Munich,5,2,61,47,8,23,9,7,15,14,Draw,2025
2023-03-24,Premier League,Liverpool,Juventus,0,5,50,60,25,5,2,2,7,12,Home Team,2015
2017-10-02,Serie A,Manchester City,Liverpool,0,4,50,33,25,8,7,9,8,13,Away Team,2024
2018-03-02,Serie A,Real Madrid,Paris Saint-Germain,0,5,48,38,24,5,9,7,10,11,Home Team,2017
2024-02-22,Premier League,Barcelona,Bayern Munich,0,1,60,46,16,18,9,6,5,14,Away Team,2017
2021-06-18,UEFA Champions League,Real Madrid,Man City,5,4,42,58,20,25,2,6,7,15,Home Team,2025
2021-07-31,Serie A,Juventus,Paris Saint-Germain,4,0,44,41,25,5,4,7,13,13,Draw,2017
2022-08-31,UEFA Champions League,Juventus,Bayern Munich,4,4,66,47,17,20,4,2,8,10,Draw,2016
2023-07-03,Bundesliga,Juventus,Paris Saint-Germain,3,0,63,58,25,7,7,7,9,9,Away Team,2017
2019-11-24,Bundesliga,Chelsea,Paris Saint-Germain,2,1,63,49,21,21,7,4,6,8,Away Team,2020
2023-01-15,La Liga,Liverpool,Juventus,4,3,47,52,15,20,7,8,8,15,Draw,2020
2015-01-31,UEFA Champions League,Juventus,Juventus,0,5,49,56,22,10,2,10,15,9,Home Team,2016
2019-06-09,La Liga,Bayern Munich,Chelsea,4,2,54,60,15,11,7,5,11,8,Away Team,2017
2018-12-07,Premier League,PSG,AC Milan,3,4,50,41,18,25,7,3,7,11,Away Team,2018
2022-08-29,UEFA Champions League,PSG,Borussia Dortmund,0,3,63,38,21,17,5,3,13,12,Draw,2015
2015-11-21,UEFA Champions League,Arsenal,Bayern Munich,5,3,60,48,20,17,9,4,7,8,Home Team,2018
2015-09-08,UEFA Champions League,Bayern Munich,AC Milan,2,0,43,49,22,10,6,8,9,10,Away Team,2024
2016-11-07,La Liga,PSG,Paris Saint-Germain,1,3,62,58,8,12,2,2,8,10,Draw,2023
2022-08-22,Premier League,Arsenal,Chelsea,3,4,45,54,22,23,3,3,7,12,Draw,2019
2015-04-03,UEFA Champions League,Juventus,Bayern Munich,5,3,67,54,6,15,2,9,13,13,Draw,2025
2024-09-09,UEFA Champions League,Chelsea,Chelsea,0,2,61,39,8,5,9,2,11,7,Home Team,2022
2018-01-20,Premier League,Chelsea,Bayern Munich,4,0,66,45,13,23,7,9,13,6,Away Team,2017
2022-02-26,Premier League,Chelsea,Liverpool,5,2,53,38,6,8,8,2,9,11,Away Team,2020
2018-09-16,Premier League,Arsenal,Borussia Dortmund,0,4,40,35,6,7,10,4,14,13,Away Team,2018
2015-12-18,UEFA Champions League,Bayern Munich,Man City,4,3,46,42,13,18,4,9,14,9,Draw,2018
2020-05-26,Premier League,Arsenal,Bayern Munich,4,1,58,53,7,7,6,2,13,14,Draw,2020
2022-02-17,La Liga,AC Milan,Bayern Munich,2,4,65,54,24,16,3,10,11,14,Away Team,2022
2017-02-05,Serie A,Manchester City,Juventus,5,1,51,39,22,9,5,4,7,13,Away Team,2025
2015-06-20,Serie A,AC Milan,Man City,2,0,45,37,23,23,4,4,11,12,Draw,2016
2022-10-01,Bundesliga,Juventus,Paris Saint-Germain,1,3,65,46,12,8,7,3,10,10,Home Team,2018
2015-03-21,Premier League,Juventus,Juventus,3,0,53,38,19,13,7,5,10,6,Home Team,2024
2021-11-03,Premier League,Manchester City,Arsenal,4,5,51,60,9,15,9,9,14,12,Away Team,2022
2020-10-11,Serie A,Juventus,AC Milan,0,5,70,56,10,12,7,6,11,11,Home Team,2018
2020-11-14,UEFA Champions League,Manchester City,Barcelona,2,2,45,43,18,19,5,3,7,6,Home Team,2024
2022-07-25,Premier League,Real Madrid,Borussia Dortmund,0,2,43,35,12,13,7,6,12,5,Home Team,2023
2023-01-17,Bundesliga,Arsenal,AC Milan,1,2,51,39,6,22,9,8,8,13,Away Team,2017
2021-08-17,Premier League,Real Madrid,Arsenal,0,0,67,45,23,16,9,7,13,13,Draw,2016
2015-01-22,La Liga,Chelsea,Arsenal,4,0,66,44,20,8,4,4,9,7,Home Team,2018
2024-08-27,UEFA Champions League,Real Madrid,Juventus,0,5,60,55,14,23,6,10,11,5,Home Team,2019
2018-04-11,Premier League,Chelsea,Paris Saint-Germain,2,0,60,42,14,9,6,4,15,7,Home Team,2019
2025-07-24,Bundesliga,Chelsea,Juventus,3,1,54,57,12,18,2,4,6,11,Home Team,2015
2018-04-21,Bundesliga,Arsenal,Arsenal,1,4,59,32,14,15,4,10,6,5,Away Team,2025
2023-01-10,UEFA Champions League,Liverpool,AC Milan,2,1,43,47,10,8,4,4,6,5,Home Team,2025
2017-06-26,Serie A,Barcelona,AC Milan,2,4,53,30,24,20,6,5,12,14,Away Team,2023
2022-12-20,Bundesliga,AC Milan,Man City,1,2,56,45,9,22,7,8,14,9,Home Team,2015
2015-10-18,UEFA Champions League,Chelsea,AC Milan,5,5,58,34,9,21,2,10,9,13,Home Team,2017
2018-03-21,Bundesliga,Bayern Munich,Borussia Dortmund,1,3,63,32,25,12,2,8,8,9,Away Team,2024
2021-05-05,Serie A,PSG,Juventus,5,3,50,36,8,7,9,10,5,7,Home Team,2020
2015-09-10,Serie A,Liverpool,Arsenal,4,0,67,50,8,11,4,2,14,10,Draw,2023
2023-06-11,Serie A,Juventus,Bayern Munich,0,0,41,41,12,5,7,6,12,13,Away Team,2019
2019-03-17,Premier League,Juventus,Arsenal,3,3,42,30,15,17,6,4,15,7,Draw,2021
2023-09-19,UEFA Champions League,Juventus,Paris Saint-Germain,4,5,66,40,14,16,7,9,11,14,Draw,2023
2021-11-11,UEFA Champions League,Chelsea,Liverpool,5,1,59,46,21,23,3,4,7,6,Away Team,2019
2023-01-12,Premier League,Juventus,Paris Saint-Germain,5,5,43,43,16,15,9,4,12,14,Draw,2015
2022-08-07,Serie A,Barcelona,Man City,5,2,69,59,8,7,2,9,12,5,Away Team,2023
2015-10-19,Serie A,Chelsea,Chelsea,4,2,52,44,20,8,8,4,12,6,Draw,2016
2017-02-14,Serie A,Chelsea,Barcelona,4,2,54,47,17,24,9,7,6,11,Draw,2019
